No.,Name,Country,Points,Move
1,Novak Djokovic ,SRB,"7,240",0
2,Carlos Alcaraz ,ESP,"6,770",0
3,Casper Ruud ,NOR,"5,255",1
4,Daniil Medvedev ,RUS,"5,240",1
5,Stefanos Tsitsipas ,GRE,"4,950",2
6,Andrey Rublev ,RUS,"4,380",0
7,Holger Rune ,DEN,"3,865",2
8,Jannik Sinner ,ITA,"3,525",0
9,Félix Auger-Aliassime ,CAN,"3,450",2
10,Taylor Fritz ,USA,"3,245",0
11,Karen Khachanov ,RUS,"2,900",1
12,Frances Tiafoe ,USA,"2,870",1
13,Cameron Norrie ,GBR,"2,735",1
14,Rafael Nadal ,ESP,"2,715",1
15,Hubert Hurkacz ,POL,"2,660",2
16,Alexander Zverev ,GER,"2,140",0
17,Pablo Carreño Busta ,ESP,"2,095",0
18,Tommy Paul ,USA,"2,070",0
19,Alex de Minaur ,AUS,"2,050",0
20,Lorenzo Musetti ,ITA,"1,930",1
